index,Luminance Non-Windowed,C1,C2,C3,Time,Sound Amplitude,Respiration Synchrony,Dancer Acceleration Non-Windowed,Dancer Distance Non-Windowed,Choreographer/Performer Rating,Dramaturg Rating,Collaborator/Performer Rating,Dancer Acceleration,Dancer Distance,Audio RMS,Audio Pulse Clarity,Luminance
430,1.216767459,0.30865082,-1.0671149,0.49549699,430.0,-0.0763,1.9784549,3.638005599,0.484305667,0.927272727,0.415944541,0.870279146,1.775942094,0.418005464,0.006639661,0.108211716,59.13119948
431,1.225415121,0.33880317,-0.84715396,1.0076534,431.0,-0.241,1.8485415,2.407370593,0.549760316,0.927272727,0.415944541,0.870279146,1.426165379,0.383315965,0.002658467,0.133748706,58.72173353
432,1.212554115,0.25939909,-0.74109256,0.73198342,432.0,0.229,2.4215879,2.750490427,0.547601111,0.927272727,0.415944541,0.870279146,1.266436187,0.336148424,0.007465031,0.077617603,58.22538837
433,1.188453182,0.36335456,-0.39036322,0.69642615,433.0,0.219,2.1018646,1.596100368,0.369052189,0.927272727,0.415944541,0.870279146,1.359776504,0.312430182,0.004652506,0.169870488,57.60794641
434,1.137183886,-0.45551485,-0.31262061,0.65652353,434.0,0.271,1.0812311,1.638433331,0.259542535,0.927272727,0.415944541,0.870279146,1.41487406,0.315826883,0.0095695,0.236623638,56.95723867
435,1.130843565,-0.41043755,-0.60715085,-0.31507233,435.0,0.668,1.2534119,3.22540835,0.32667518,0.927272727,0.434142114,0.870279146,1.512721962,0.318448306,0.032320414,0.227443726,56.37446603
436,1.075344805,-0.32799703,-0.29320291,-0.8352887,436.0,-1.15,0.41866884,2.107555239,0.346361664,0.927272727,0.573656846,0.870279146,1.632175528,0.316253182,0.016549549,0.227979805,55.93224818
437,1.015310188,-0.4594582,0.26512602,-0.33347192,437.0,0.196,0.14164355,1.974510662,0.344281568,0.927272727,0.595320624,0.870279146,1.718656408,0.308842863,0.021513341,0.225406565,55.61689473
438,0.931035864,-0.43481189,0.10429392,0.047469746,438.0,0.34,0.38396031,1.384256812,0.337360063,0.927272727,0.606585789,0.870279146,1.685085694,0.347686644,0.00783606,0.175593743,55.49282209
439,0.856029805,0.099315412,0.62878299,-0.2761406,439.0,-0.556,0.34301448,1.329290486,0.336575446,0.927272727,0.6152513,0.870279146,1.672707827,0.435984872,0.011036366,0.129296047,55.49951137
440,0.86221661,-0.31605402,0.71690875,-0.50068963,440.0,0.156,0.27209228,1.161194888,0.341711886,0.927272727,0.644714038,0.870279146,1.624679978,0.551769248,0.009770991,0.183749022,55.88638438
441,0.850871935,-0.14380194,0.46893474,-0.67814386,441.0,-0.0372,0.15812188,1.749542053,0.302245872,0.927272727,0.644714038,0.870279146,1.546152365,0.683937589,0.001100414,0.195559902,56.7481803
